area,perimeter,height,width,r_value,g_value,b_value,index,label
301.0,12.0,277,359,164,106,80,14,1
219.0,3.959797907,277,359,214,121,83,13,1
231.0,0.0,277,359,205,149,69,13,1
245.5,29.23675311,277,359,197,151,90,13,1
245.5,13.51959581,277,359,211,156,87,12,1
229.0,224.6213544,277,359,208,153,67,14,1
232.0,139.4067239,277,359,216,156,120,11,1
229.5,266.803692,277,359,220,156,91,14,1
235.0,348.2325364,277,359,222,157,92,13,1
201.0,2.262741661,277,361,207,167,65,12,1
205.0,1020.423443,277,361,212,164,50,11,1
234.0,12.8,277,365,201,170,91,12,1
215.5,279.636995,277,365,226,148,13,13,1
234.0,22.4,277,365,222,160,56,13,1
235.0,147.2694646,277,365,209,153,73,13,1
203.0,281.123288,277,365,227,157,66,12,1
207.5,259.7409492,277,365,213,163,68,12,1
200.5,295.3291748,277,365,222,163,71,13,1
253.5,3.414213538,277,365,220,159,46,11,1
245.5,38.82842708,277,365,215,158,54,12,1
241.0,4.097056246,277,365,198,162,79,12,1
237.0,4.0,277,365,220,158,44,13,1
193.5,252.0154675,277,365,187,165,109,12,1
217.5,163.8719039,277,365,212,163,102,11,1
210.0,55.78233747,277,365,204,157,80,12,1
214.0,40.77644997,277,365,175,94,67,11,1
218.5,313.2619743,277,365,227,153,64,12,1
224.0,245.7291736,277,365,213,162,83,13,1
222.0,0.0,277,365,216,161,82,13,1
212.5,244.0154651,277,365,205,175,97,13,1
209.0,0.0,277,365,206,160,74,13,1
203.0,224.782163,277,365,215,161,68,14,1
219.5,187.3194212,277,365,213,155,62,13,1
235.0,253.260547,277,365,207,148,43,11,1
213.0,0.0,277,365,223,159,36,11,1
217.5,7.725483322,277,365,220,162,86,11,1
211.0,245.9232878,277,365,206,157,98,11,1
232.5,13.51959581,277,365,213,162,86,12,1
321.5,33.35878744,277,365,221,150,64,17,1
213.0,231.0213534,277,365,218,159,87,12,1
216.5,199.6507907,277,365,168,98,73,10,1
241.0,189.7998247,277,365,211,155,91,13,1
221.5,297.8061297,277,365,215,165,117,12,1
230.5,298.2213532,277,365,222,154,19,12,1
213.0,293.809579,277,365,206,165,58,11,1
211.0,282.4924213,277,365,208,163,59,12,1
222.5,233.5919149,277,365,211,154,64,11,1
222.0,318.6761857,277,365,212,162,74,11,1
214.5,224.5076468,277,365,213,160,85,12,1
224.5,255.248771,277,365,202,159,66,13,1
196.5,386.2879625,277,365,205,165,72,11,1
238.5,262.3115123,277,365,196,150,13,13,1
266.5,137.6223649,277,365,203,154,11,13,1
239.5,2.4,277,365,195,158,21,13,1
252.5,1.6,277,365,167,101,82,11,1
260.0,260.2428834,277,365,200,162,123,12,1
225.5,178.6483523,277,365,212,138,93,14,1
241.0,13.65685415,277,365,186,104,81,13,1
217.0,272.929174,277,365,228,148,19,13,1
200.0,192.05424,277,365,195,157,78,13,1
228.5,8.828427076,277,365,206,162,88,13,1
214.0,386.9202561,277,365,201,162,58,12,1
215.5,262.746838,277,365,207,167,85,11,1
215.5,265.4782087,277,365,221,157,50,13,1
227.5,4.0,277,365,183,178,42,13,1
232.0,59.49747479,277,365,202,151,10,11,1
190.0,338.3919152,277,365,215,163,115,12,1
229.5,175.4601279,277,365,210,142,100,13,1
203.5,298.6345578,277,365,208,162,114,13,1
194.5,6.125483322,277,365,208,158,108,12,1
233.5,284.4369959,277,365,202,173,79,13,1
220.0,293.374254,277,365,201,165,69,13,1
188.0,149.5925102,277,365,179,115,103,14,1
228.0,276.9860303,277,365,193,173,84,13,1
235.5,4.525483322,277,365,192,174,95,13,1
214.5,331.8741663,277,365,198,170,84,13,1
205.0,316.7496946,277,365,206,166,79,13,1
200.5,214.1409492,277,365,204,165,67,13,1
225.0,206.1644991,277,365,201,116,66,13,1
229.5,329.9025948,277,365,226,150,36,11,1
223.0,3.2,277,365,202,165,84,13,1
215.0,704.3720587,277,365,224,155,38,12,1
210.0,9.188224983,277,365,223,161,59,12,1
206.0,197.7644998,277,365,221,155,103,12,1
209.5,0.0,277,365,187,135,124,13,1
201.5,363.5025923,277,365,211,152,101,12,1
208.0,462.475176,277,365,225,146,88,13,1
194.5,7.725483322,277,365,217,150,104,14,1
219.5,736.1779465,277,365,200,167,76,13,1
199.5,241.752725,277,365,222,160,52,13,1
199.0,331.4290891,277,365,201,154,79,12,1
213.5,354.575681,277,365,217,162,45,12,1
212.0,525.5657524,277,365,208,162,61,12,1
245.0,86.74112492,277,365,190,173,93,14,1
241.5,8.8,277,365,195,132,101,11,1
229.0,8.194112492,277,365,190,115,68,13,1
245.5,2.8,277,365,189,137,102,12,1
199.5,254.3586119,277,365,214,171,88,12,1
222.0,292.7919164,277,365,213,172,85,11,1
236.0,270.4723204,277,365,212,171,85,12,1
224.0,29.96467495,277,365,213,107,77,13,1
221.5,234.2213548,277,365,219,162,93,13,1
205.5,282.1909066,277,365,209,147,100,12,1
203.0,0.0,277,365,212,165,111,11,1
224.5,190.7336341,277,365,216,155,109,12,1
235.5,49.74701242,277,365,198,173,85,14,1
222.0,283.7742543,277,365,222,163,60,12,1
221.5,47.79898953,277,365,201,171,69,11,1
226.5,322.9188274,277,365,213,156,34,13,1
239.0,522.2853482,277,365,222,157,64,15,1
224.0,419.1172245,277,365,225,159,53,12,1
205.0,476.8059544,277,365,191,165,54,14,1
203.0,347.6467494,277,365,229,164,61,12,1
237.0,5.091168737,277,365,209,125,69,12,1
203.0,221.0331298,277,365,209,170,83,12,1
243.5,28.02497809,277,365,215,168,85,12,1
224.0,95.60285611,277,365,215,164,114,12,1
227.0,2.8,277,365,210,168,118,13,1
237.0,19.97644997,277,365,213,165,118,12,1
225.5,6.594112492,277,365,207,172,52,13,1
234.5,2.4,277,365,203,174,60,12,1
238.5,270.5056248,277,365,207,167,42,13,1
230.0,250.7232862,277,365,205,164,36,12,1
216.0,341.1614681,277,365,206,162,69,12,1
207.5,529.4790429,277,365,203,160,70,12,1
237.5,254.3919159,277,365,208,124,71,12,1
240.0,258.9978041,277,365,188,123,77,13,1
202.0,218.382162,277,365,210,164,80,12,1
244.5,418.7956068,277,365,204,161,108,13,1
246.0,251.7880491,277,365,216,161,73,12,1
221.0,205.3076464,277,365,218,154,55,12,1
501.0,416.7878742,277,365,194,158,103,14,1
189.5,0.0,277,365,205,152,100,14,1
210.0,3.414213538,277,365,203,160,104,12,1
203.0,10.4,277,365,206,148,108,11,1
230.0,476.2741659,277,365,215,162,98,12,1
227.5,11.65685415,277,365,210,166,100,13,1
219.0,296.8487696,277,365,217,161,76,13,1
238.5,452.4427055,277,365,196,113,65,12,1
219.5,228.6615552,277,365,211,159,113,12,1
243.0,299.6051196,277,365,202,117,70,13,1
239.5,33.65685415,277,365,176,131,106,12,1
239.5,5.656854153,277,365,210,173,90,13,1
198.5,1.6,277,365,227,159,67,14,1
197.5,219.5135324,277,365,211,163,83,12,1
194.0,7.919595814,277,365,215,166,71,13,1
207.0,17.67350621,277,365,197,159,65,12,1
191.5,715.8993856,277,365,231,125,51,13,1
284.0,32.83330412,277,365,209,162,110,13,1
212.0,369.5115115,277,365,218,159,75,12,1
233.0,393.7084811,277,365,220,164,118,11,1
242.0,65.61807995,277,365,222,158,108,13,1
215.0,303.7472535,277,365,222,172,124,11,1
225.0,454.7456506,277,365,207,152,77,12,1
237.5,4.779898953,277,365,205,146,79,12,1
271.5,549.1249596,277,365,215,156,77,12,1
187.0,5.794112492,277,365,211,167,77,11,1
194.5,14.83675311,277,365,198,174,88,12,1
189.5,2.4,277,365,223,167,62,13,1
205.5,42.18376648,277,365,222,177,137,11,1
183.0,1.6,277,365,225,173,128,12,1
222.5,300.7919161,277,365,212,167,67,13,1
215.5,359.8144558,277,365,217,161,73,12,1
207.0,8.73969686,277,365,195,162,110,10,1
222.5,2.4,277,365,188,134,112,13,1
249.5,20.77644997,277,365,201,167,85,13,1
248.5,321.3507054,277,365,223,163,104,12,1
217.5,313.0428846,277,365,219,162,103,12,1
237.0,404.1819859,277,365,212,166,74,10,1
224.5,2.8,277,365,216,166,80,10,1
222.0,310.6761869,277,365,209,163,92,13,1
252.5,5.2,277,365,209,143,97,13,1
220.0,400.9084803,254,154,202,133,59,14,2
218.0,279.462983,254,159,207,163,77,12,2
212.5,210.6719035,254,307,203,168,62,12,2
243.5,8.662741661,254,307,219,162,92,11,2
226.0,17.32548332,254,307,211,165,83,13,2
219.5,7.725483322,254,313,216,122,62,12,2
240.0,285.9232879,254,321,214,160,83,14,2
226.0,3.2,254,321,191,156,94,11,2
217.5,7.656854153,254,321,182,155,99,11,2
217.0,317.9482656,254,321,185,164,103,12,2
214.0,4.779898953,254,321,204,155,59,12,2
218.5,272.1860286,254,321,202,146,16,12,2
257.0,45.96467476,254,321,204,164,14,15,2
240.5,8.876955199,254,321,205,169,83,14,2
213.5,2.4,254,321,212,161,18,11,2
195.0,241.3208479,265,321,215,124,76,11,2
208.0,230.6331286,265,321,213,163,70,13,2
225.0,0.0,265,321,201,163,95,14,2
199.0,138.9380931,269,321,220,172,118,12,2
210.0,5.462741661,269,321,221,154,97,12,2
198.5,306.26441,269,321,227,153,87,12,2
238.5,0.0,269,321,204,141,72,11,2
236.5,11.2,269,321,194,128,63,12,2
225.0,1000.7051,269,321,200,132,62,12,2
230.0,6.145584369,269,321,213,120,80,11,2
205.5,430.5320312,269,321,157,87,66,11,2
204.5,358.2110064,269,321,217,171,111,11,2
264.5,100.2371707,269,321,217,150,56,13,2
247.5,0.0,269,321,208,159,74,14,2
237.5,46.88528123,269,321,200,167,50,13,2
221.5,272.0252211,269,321,204,153,79,12,2
260.5,219.8650049,269,321,202,165,88,13,2
215.0,6.848528123,269,321,194,178,117,12,2
211.5,185.2507906,269,321,203,171,110,13,2
211.0,13.28528123,269,321,217,121,81,12,2
242.5,0.0,269,321,211,165,83,13,2
213.5,306.5555816,269,321,220,166,97,13,2
220.0,16.38822498,269,321,201,163,75,11,2
229.5,252.8424645,269,326,212,157,62,12,2
247.0,18.87350621,269,326,168,88,69,13,2
228.0,242.1527242,269,326,185,115,102,12,2
229.5,403.8893905,269,326,213,163,74,12,2
229.0,219.0782068,269,326,172,88,71,10,2
200.5,138.0410374,269,326,195,166,107,11,2
199.0,7.511269784,269,326,190,175,84,12,2
207.5,21.77056246,269,326,222,171,116,14,2
221.0,325.0089871,269,326,217,102,61,13,2
233.5,9.325483322,269,326,212,151,28,12,2
228.5,57.27838326,269,326,196,167,79,12,2
237.5,409.7472548,269,326,220,153,25,12,2
224.0,8.194112492,269,326,197,169,80,12,2
207.0,12.48528123,269,326,169,120,97,11,2
220.0,2.8,269,326,167,118,98,12,2
240.5,262.666433,269,326,206,169,96,13,2
197.5,2.8,269,326,157,85,68,14,2
214.0,4.779898953,269,326,161,96,78,14,2
205.0,349.0491868,269,326,221,162,102,12,2
225.5,2.8,269,326,182,170,81,13,2
213.5,184.0057123,269,326,221,163,103,13,2
197.5,180.6115995,269,326,216,170,105,11,2
223.5,25.64507914,269,326,218,166,111,13,2
248.5,81.19797907,269,326,211,165,86,13,2
233.0,19.49116874,269,326,211,153,22,14,2
203.5,163.5807335,269,326,183,117,97,13,2
200.5,2.0,269,326,169,99,72,11,2
228.5,384.9604583,269,326,204,139,91,13,2
223.0,0.0,269,326,159,86,65,12,2
221.5,8.0,269,326,188,162,137,11,2
221.5,226.6899834,269,326,196,168,65,13,2
204.5,784.1391709,269,326,220,161,111,12,2
193.0,132.6469245,269,326,212,153,89,12,2
215.0,0.0,269,326,203,127,83,12,2
210.5,901.2561517,269,326,222,147,57,13,2
210.0,294.6331292,269,326,219,168,90,13,2
197.0,376.139521,269,326,226,155,35,12,2
217.0,280.4134447,269,326,225,149,52,13,2
178.5,33.89116874,269,326,158,90,61,12,2
235.0,333.0609634,269,326,196,111,71,14,2
206.0,203.5821611,269,331,169,92,67,12,2
229.0,301.2605461,269,331,190,171,75,11,2
196.0,900.0214214,269,339,166,94,69,12,2
201.0,4.779898953,269,339,152,117,95,12,2
193.0,11.65685415,269,339,217,157,98,12,2
185.0,210.1547451,269,339,215,159,101,12,2
200.5,232.8355672,269,339,229,171,120,12,2
208.0,21.85096664,269,339,201,174,86,13,2
214.5,105.7332153,269,339,221,149,77,12,2
208.0,3.2,269,339,185,168,101,12,2
212.5,2.4,269,339,188,163,98,12,2
240.0,137.1439809,269,339,204,142,57,13,2
215.5,340.2914118,269,339,204,161,41,15,2
198.0,119.2430582,269,339,176,153,130,13,2
184.0,167.5175749,269,339,165,142,120,11,2
216.0,387.5462443,269,339,225,157,66,12,2
216.5,314.5624778,269,339,214,165,91,12,2
218.0,283.9683661,269,339,222,157,55,11,2
212.5,517.0250451,269,339,222,154,63,12,2
219.5,167.1557561,269,361,212,167,87,12,2
208.5,162.7675309,269,361,215,166,80,11,2
205.5,291.0615553,269,361,204,173,73,12,2
219.5,762.5876983,269,361,220,162,69,12,2
217.0,161.4719028,269,361,211,135,88,12,2
230.0,149.0871266,269,361,207,145,111,13,2
222.5,258.5056244,269,361,185,161,101,12,2
230.5,252.597803,269,361,186,161,102,13,2
229.5,157.5058003,269,361,179,155,97,14,2
229.0,217.9468369,269,361,191,93,67,11,2
205.5,357.060963,269,361,219,161,67,11,2
235.5,792.0033419,269,366,214,175,109,12,2
228.0,646.2813079,269,366,220,170,65,13,2
223.5,325.1330401,269,366,225,165,90,13,2
214.0,219.4802284,269,366,219,152,29,14,2
213.0,243.8061305,269,366,214,163,94,14,2
226.5,211.2542397,269,366,216,152,112,13,2
239.0,82.40285597,269,366,197,121,65,12,2
239.5,10.0,269,366,209,153,112,11,2
357.0,55.71858518,269,366,202,164,64,12,2
253.5,291.2252207,269,366,212,164,113,14,2
230.5,299.3860302,269,366,211,163,115,14,2
232.5,472.6672686,269,366,211,164,103,13,2
218.5,405.0055367,269,366,213,169,122,14,2
216.5,276.3232857,269,366,210,167,65,14,2
226.0,237.7291755,269,366,206,153,101,13,2
237.0,13.78233747,269,366,175,153,113,13,2
216.0,195.7748463,269,366,217,161,65,13,2
216.5,252.2428817,269,366,205,171,77,12,2
273.5,263.7472552,269,366,212,141,66,12,2
235.5,150.0008348,269,366,217,143,59,11,2
217.0,51.75878744,269,366,223,147,23,13,2
197.5,120.2940246,269,366,216,141,75,12,2
218.0,4.828427076,269,366,209,163,68,13,2
230.5,5.794112492,269,366,213,146,105,13,2
233.0,253.4213531,269,366,215,150,109,12,2
251.0,444.0260566,269,366,191,149,73,13,2
244.5,241.478208,269,366,214,146,107,13,2
212.5,129.9508786,269,366,217,161,65,13,2
224.5,393.7084821,269,366,211,164,87,13,2
209.5,259.5468374,269,366,188,113,64,13,2
242.0,0.0,269,366,207,162,49,11,2
240.5,258.44877,269,366,205,155,79,11,2
221.0,247.9586118,269,366,210,161,68,11,2
242.0,308.9860283,269,366,223,151,20,13,2
244.5,374.1084797,269,366,221,152,22,12,2
213.5,2.8,269,366,213,157,83,13,2
204.5,303.1198372,269,366,214,163,93,14,2
230.0,811.2504399,269,366,206,168,82,12,2
209.5,15.45096664,269,366,198,164,88,11,2
230.0,869.9956078,269,366,215,153,49,11,2
202.5,287.0213542,269,366,206,159,68,11,2
213.0,4.097056246,269,366,202,164,75,11,2
256.5,2.8,269,366,222,154,37,12,2
214.5,3.414213538,269,366,212,164,31,11,2
262.0,272.7939392,269,366,213,155,38,14,2
202.5,5.794112492,269,366,210,163,98,12,2
205.5,362.3746707,269,366,203,168,104,13,2
213.5,231.2958696,269,366,207,168,90,14,2
231.5,484.0461558,269,366,209,158,106,13,2
229.0,41.43919163,269,366,212,170,86,13,2
200.0,242.1076452,269,366,206,164,73,12,2
203.0,236.2899837,269,366,213,119,70,13,2
224.0,40.48528123,269,366,199,154,66,12,2
220.5,227.5468369,269,366,206,155,35,12,2
231.5,341.7819855,269,366,211,157,58,13,2
218.0,246.0840964,269,366,201,148,59,12,2
242.0,59.11269784,269,366,214,154,74,12,2
199.0,22.72792184,269,366,211,165,55,11,2
228.5,284.0903999,269,366,215,154,76,12,2
219.0,217.0566797,269,366,212,164,109,14,2
199.0,473.3202558,269,366,219,160,47,11,2
208.5,0.0,269,366,203,174,102,12,2
225.5,167.5571842,269,366,200,158,71,12,2
198.0,3.414213538,269,366,214,164,57,13,2
212.0,30.3078208,269,366,209,164,62,12,2
206.0,365.40411,269,366,228,151,26,13,2
196.0,336.0904019,269,366,228,153,51,13,2
198.5,289.1703883,269,366,205,152,66,10,2
230.5,299.161467,269,366,216,150,14,13,2
265.5,16.48528123,269,366,194,153,17,14,2
234.5,300.4369954,269,366,189,157,15,12,2
221.0,240.1860279,269,366,216,160,108,12,2
251.0,265.3978043,269,366,214,158,102,11,2
251.5,60.28427076,269,366,199,160,92,11,2
227.0,22.14213514,269,366,199,162,119,11,2
229.0,236.4840956,269,366,206,161,105,11,2
223.0,193.5454106,269,366,200,160,64,13,2
210.0,280.6213526,269,366,221,152,31,14,2
203.0,2.731370831,269,366,223,156,46,13,2
238.5,392.5799675,269,366,215,149,16,11,2
218.0,267.1919152,269,366,196,172,84,11,2
213.0,383.0193318,269,366,214,164,66,11,2
242.5,8.876955199,269,366,216,149,99,13,2
208.0,216.3703869,269,366,211,177,47,11,2
259.5,2.8,269,366,197,171,62,11,2
237.0,24.97056246,269,366,198,152,7,14,2
218.5,356.8349762,269,366,206,147,127,12,2
220.5,19.31370831,269,366,193,158,11,12,2
191.0,15.45096664,269,366,222,159,110,12,2
188.0,347.476186,269,366,221,154,101,13,2
216.5,221.421353,269,366,206,172,87,13,2
229.5,10.71959581,269,366,214,168,77,13,2
235.5,3.2,269,366,201,165,59,13,2
221.5,339.7937628,269,366,217,161,110,13,2
218.0,356.3025936,269,366,218,171,68,14,2
201.0,104.9705625,269,366,204,161,68,11,2
226.5,581.2199933,269,366,210,160,70,11,2
208.0,3.6,269,366,203,163,60,11,2
225.5,327.6231992,269,366,200,155,112,11,2
212.5,18.37644997,269,366,217,161,68,11,2
212.5,12.29116874,269,366,217,161,68,11,2
192.5,6.828427076,269,366,200,169,97,12,2
224.5,50.98233747,269,366,212,164,72,12,2
198.0,8.73969686,269,366,220,155,101,13,2
209.0,246.0840955,269,366,202,170,59,13,2
209.0,362.6428831,269,366,222,169,116,12,2
212.5,17.65685415,269,366,196,175,70,14,2
215.5,230.1645,269,366,204,171,51,13,2
215.5,6.8,269,366,200,171,55,13,2
195.0,310.0487716,269,366,222,158,21,14,2
223.0,229.6958699,269,366,223,162,89,11,2
242.5,0.0,269,366,190,116,65,13,2
226.0,372.4163022,269,366,223,147,26,10,2
229.5,9.188224983,269,366,194,118,66,12,2
220.0,293.2605455,269,366,227,152,41,12,2
212.0,27.31370831,269,366,201,172,61,13,2
236.0,168.0292621,269,366,201,167,52,13,2
216.0,95.4676187,269,366,202,161,101,13,2
220.0,7.656854153,269,366,214,162,64,12,2
237.5,209.3645014,269,366,219,157,111,12,2
265.0,10.71959581,269,366,219,166,118,12,2
208.5,268.2713097,269,366,211,168,111,12,2
252.0,4.779898953,269,366,200,172,59,15,2
226.0,25.87939372,269,366,191,172,73,13,2
207.5,198.7571833,269,366,198,165,56,12,2
230.5,210.8424655,269,366,215,163,73,12,2
216.0,320.5742532,269,366,212,160,75,13,2
244.5,15.45096664,269,366,188,162,69,15,2
225.0,689.5097332,269,366,222,160,63,13,2
236.5,374.1320314,269,366,223,162,65,12,2
208.5,185.8483533,269,366,202,166,89,12,2
208.5,247.7978041,269,366,202,166,89,12,2
225.0,107.3803165,269,366,209,167,36,12,2
204.5,169.622363,269,366,209,170,104,12,2
223.5,312.6546573,269,366,216,166,79,14,2
226.5,0.0,269,366,212,166,113,13,2
202.5,0.0,269,366,215,157,105,12,2
216.0,271.3957813,269,366,221,100,68,11,2
206.5,4.779898953,269,366,215,146,93,14,2
217.0,0.0,269,366,218,161,69,12,2
205.5,267.38603,269,366,202,172,84,12,2
219.5,9.891168737,269,366,196,171,78,13,2
191.5,249.1703876,269,366,225,159,36,12,2
229.5,384.5202553,269,366,208,121,63,12,2
250.0,206.5395214,269,366,207,160,76,11,2
264.5,436.2554914,269,366,207,160,73,14,2
227.0,190.1512963,269,366,210,165,70,12,2
231.5,175.1821626,269,366,219,153,51,12,2
226.0,219.5634881,269,366,219,153,51,12,2
222.0,666.4073819,269,366,194,128,63,13,2
218.0,20.27939372,269,366,203,173,100,11,2
219.5,289.6723204,269,366,213,151,69,12,2
241.0,116.7528999,269,366,223,149,97,15,2
190.0,149.6223638,269,366,213,158,106,12,2
227.5,222.5527251,269,366,201,113,60,13,2
206.5,237.7791312,269,366,215,152,101,14,2
227.5,6.4,269,366,217,107,78,14,2
219.5,408.3496928,269,366,224,163,93,12,2
214.5,348.1624783,269,366,208,166,98,11,2
246.0,4.828427076,269,366,203,119,68,13,2
238.0,3.959797907,269,366,204,124,70,11,2
219.0,361.1275723,269,366,217,134,71,12,2
238.5,258.8840947,269,366,217,130,70,13,2
227.0,4.097056246,269,366,207,152,61,13,2
229.0,4.4,269,366,204,162,91,12,2
220.0,370.3746701,269,366,198,164,78,12,2
209.0,0.0,269,366,204,162,91,12,2
212.0,6.828427076,269,366,173,123,62,13,2
210.0,317.8899825,269,366,228,123,50,11,2
210.5,0.0,269,366,227,150,64,10,2
206.0,2.8,269,366,218,153,76,12,2
187.0,20.82842708,269,366,215,158,79,14,2
210.5,434.5015835,269,366,226,162,112,13,2
214.5,2.0,269,366,213,164,115,13,2
238.0,4.0,269,366,202,149,74,12,2
